132,1964-01-18,1963,Hertha BSC,VfB Stuttgart,0-2,0,2,1,1,A
133,1964-01-18,1963,Preussen Munster,Eintracht Braunschweig,0-2,0,2,1,1,A
134,1964-01-18,1963,Werder Bremen,1. FC Nurnberg,2-1,2,1,1,1,H
137,1964-01-25,1963,1. FC Koln,TSV 1860 Munchen,2-2,2,2,1,1,D
138,1964-01-25,1963,Hamburger SV,Karlsruher SC,1-1,1,1,1,1,D
139,1964-01-25,1963,1. FC Nurnberg,Frankfurter SG Eintracht,1-0,1,0,1,1,H
140,1964-01-25,1963,Borussia Dortmund,FC Schalke 04,3-0,3,0,1,1,H
141,1964-01-25,1963,Meidericher SV,Preussen Munster,0-0,0,0,1,1,D
142,1964-01-25,1963,VfB Stuttgart,Werder Bremen,2-0,2,0,1,1,H
143,1964-01-25,1963,Eintracht Braunschweig,1. FC Saarbrucken,3-1,3,1,1,1,H
145,1964-02-01,1963,FC Schalke 04,1. FC Koln,2-3,2,3,1,1,A
146,1964-02-01,1963,Werder Bremen,1. FC Kaiserslautern,2-0,2,0,1,1,H
147,1964-02-01,1963,Karlsruher SC,Eintracht Braunschweig,3-1,3,1,1,1,H
128,1964-02-08,1963,VfB Stuttgart,FC Schalke 04,2-0,2,0,1,1,H
135,1964-02-08,1963,1. FC Saarbrucken,Hamburger SV,1-1,1,1,1,1,D
136,1964-02-08,1963,Frankfurter SG Eintracht,Meidericher SV,2-2,2,2,1,1,D
144,1964-02-08,1963,1. FC Kaiserslautern,Hertha BSC,3-0,3,0,1,1,H
148,1964-02-08,1963,Preussen Munster,1. FC Nurnberg,0-1,0,1,1,1,A
153,1964-02-15,1963,Hamburger SV,FC Schalke 04,3-1,3,1,1,1,H
154,1964-02-15,1963,1. FC Nurnberg,1. FC Saarbrucken,2-0,2,0,1,1,H
155,1964-02-15,1963,1. FC Koln,Hertha BSC,3-1,3,1,1,1,H
156,1964-02-15,1963,Borussia Dortmund,Karlsruher SC,3-2,3,2,1,1,H
